empresa;descrição;cidade;protocolo;created_at;Nome do Técnico;status_os;data_encerramento_prot;OLT;Regional;Motivo
FiberTech;Mudança de Endereço;Paulínia;20265177432;02/02/2026 16:52:42;Maria Oliveira;Pendente;03/02/2026 07:52:42;OLT-NOKIA-5;Paulínia;Mudança de Endereço
Conecta+;Mudança de Endereço;Paulínia;20269858746;13/01/2026 15:41:34;Maria Oliveira;Aberto;15/01/2026 12:41:34;OLT-HUAWEI-2;Paulínia;Mudança de Endereço
Horizon Telecom;Suporte Wi-Fi;Campinas;20262232040;06/02/2026 23:02:20;Kevyn Ferrezin;Aberto;08/02/2026 13:02:20;OLT-HUAWEI-6;Campinas;Suporte Wi-Fi
Conecta+;Reparo de Fibra;Valinhos;20261076293;06/02/2026 14:32:54;Carlos Santos;Pendente;07/02/2026 02:32:54;OLT-HUAWEI-2;Valinhos;Reparo de Fibra
Horizon Telecom;Suporte Wi-Fi;Valinhos;20265842784;20/01/2026 05:16:13;Carlos Santos;Pendente;20/01/2026 13:16:13;OLT-NOKIA-5;Valinhos;Suporte Wi-Fi
Conecta+;Mudança de Endereço;Valinhos;20265659680;03/01/2026 01:45:55;Carlos Santos;Pendente;04/01/2026 04:45:55;OLT-ZTE-7;Valinhos;Mudança de Endereço
Horizon Telecom;Reparo de Fibra;Valinhos;20263816269;18/01/2026 21:13:55;João Silva;Em deslocamento;19/01/2026 02:13:55;OLT-HUAWEI-10;Valinhos;Reparo de Fibra
Conecta+;Instalação Nova;Americana;20262528004;23/01/2026 23:54:38;Maria Oliveira;Aberto;24/01/2026 11:54:38;OLT-NOKIA-6;Americana;Instalação Nova
Conecta+;Mudança de Endereço;Hortolândia;20269573559;02/01/2026 18:16:34;Ana Souza;Aberto;03/01/2026 16:16:34;OLT-HUAWEI-6;Hortolândia;Mudança de Endereço
Horizon Telecom;Troca de Tecnologia;Hortolândia;20265795274;31/01/2026 00:42:54;Kevyn Ferrezin;Pendente;31/01/2026 15:42:54;OLT-HUAWEI-1;Hortolândia;Troca de Tecnologia
Conecta+;Mudança de Endereço;Americana;20265357444;20/01/2026 08:02:19;João Silva;Aberto;21/01/2026 09:02:19;OLT-HUAWEI-10;Americana;Mudança de Endereço
FiberTech;Reparo de Fibra;Americana;20267334945;27/01/2026 23:38:43;João Silva;Em deslocamento;29/01/2026 12:38:43;OLT-ZTE-4;Americana;Reparo de Fibra
FiberTech;Mudança de Endereço;Campinas;20267288214;10/01/2026 21:31:13;Maria Oliveira;Em deslocamento;11/01/2026 12:31:13;OLT-HUAWEI-1;Campinas;Mudança de Endereço
Conecta+;Mudança de Endereço;Valinhos;20267787369;06/01/2026 13:32:47;João Silva;Aberto;06/01/2026 23:32:47;OLT-ZTE-3;Valinhos;Mudança de Endereço
Horizon Telecom;Suporte Wi-Fi;Valinhos;20267489335;10/01/2026 23:59:41;Ana Souza;Pendente;12/01/2026 21:59:41;OLT-HUAWEI-9;Valinhos;Suporte Wi-Fi
Horizon Telecom;Suporte Wi-Fi;Valinhos;20261144273;11/02/2026 09:09:45;Ana Souza;Em deslocamento;12/02/2026 06:09:45;OLT-ZTE-4;Valinhos;Suporte Wi-Fi
Horizon Telecom;Instalação Nova;Sumaré;20265232346;18/01/2026 18:40:02;Ana Souza;Pendente;20/01/2026 14:40:02;OLT-NOKIA-6;Sumaré;Instalação Nova
Horizon Telecom;Suporte Wi-Fi;Hortolândia;20268910528;08/02/2026 04:21:30;Maria Oliveira;Em deslocamento;09/02/2026 19:21:30;OLT-HUAWEI-1;Hortolândia;Suporte Wi-Fi
Horizon Telecom;Troca de Tecnologia;Sumaré;20261112499;13/02/2026 03:48:10;Maria Oliveira;Em deslocamento;15/02/2026 03:48:10;OLT-ZTE-4;Sumaré;Troca de Tecnologia
Conecta+;Reparo de Fibra;Hortolândia;20263381227;21/01/2026 16:55:54;Kevyn Ferrezin;Pendente;21/01/2026 21:55:54;OLT-NOKIA-10;Hortolândia;Reparo de Fibra
FiberTech;Mudança de Endereço;Americana;20264346828;02/02/2026 21:19:32;Maria Oliveira;Aberto;03/02/2026 11:19:32;OLT-HUAWEI-4;Americana;Mudança de Endereço
Horizon Telecom;Instalação Nova;Americana;20261882542;01/02/2026 17:09:40;João Silva;Pendente;02/02/2026 14:09:40;OLT-HUAWEI-4;Americana;Instalação Nova
Horizon Telecom;Troca de Tecnologia;Americana;20263273544;25/01/2026 07:47:43;Kevyn Ferrezin;Em deslocamento;27/01/2026 00:47:43;OLT-ZTE-5;Americana;Troca de Tecnologia
Conecta+;Mudança de Endereço;Valinhos;20265946035;01/02/2026 00:13:32;Ana Souza;Pendente;01/02/2026 03:13:32;OLT-NOKIA-5;Valinhos;Mudança de Endereço
FiberTech;Mudança de Endereço;Hortolândia;20264549850;06/02/2026 12:23:39;Carlos Santos;Aberto;07/02/2026 10:23:39;OLT-ZTE-5;Hortolândia;Mudança de Endereço
Horizon Telecom;Suporte Wi-Fi;Valinhos;20264918241;02/02/2026 16:54:53;Maria Oliveira;Pendente;03/02/2026 18:54:53;OLT-ZTE-8;Valinhos;Suporte Wi-Fi
FiberTech;Troca de Tecnologia;Valinhos;20262659476;23/01/2026 21:35:18;Maria Oliveira;Em deslocamento;24/01/2026 17:35:18;OLT-NOKIA-3;Valinhos;Troca de Tecnologia
Conecta+;Mudança de Endereço;Campinas;20264899314;10/01/2026 13:52:30;Maria Oliveira;Aberto;11/01/2026 15:52:30;OLT-ZTE-4;Campinas;Mudança de Endereço
FiberTech;Troca de Tecnologia;Sumaré;20266161950;10/01/2026 07:38:24;Ana Souza;Em deslocamento;11/01/2026 12:38:24;OLT-HUAWEI-7;Sumaré;Troca de Tecnologia
Conecta+;Mudança de Endereço;Sumaré;20269647944;17/02/2026 08:27:03;Maria Oliveira;Pendente;19/02/2026 05:27:03;OLT-HUAWEI-8;Sumaré;Mudança de Endereço
FiberTech;Reparo de Fibra;Valinhos;20264578192;03/02/2026 19:37:58;Ana Souza;Aberto;05/02/2026 17:37:58;OLT-ZTE-10;Valinhos;Reparo de Fibra
FiberTech;Reparo de Fibra;Hortolândia;20264384631;27/01/2026 16:46:51;Kevyn Ferrezin;Aberto;27/01/2026 20:46:51;OLT-NOKIA-6;Hortolândia;Reparo de Fibra
FiberTech;Reparo de Fibra;Hortolândia;20269521396;04/01/2026 04:45:36;Maria Oliveira;Pendente;06/01/2026 02:45:36;OLT-NOKIA-9;Hortolândia;Reparo de Fibra
FiberTech;Instalação Nova;Americana;20265834539;01/01/2026 16:45:34;Maria Oliveira;Em deslocamento;02/01/2026 16:45:34;OLT-HUAWEI-6;Americana;Instalação Nova
Horizon Telecom;Reparo de Fibra;Americana;20266291124;18/01/2026 19:55:08;Ana Souza;Pendente;20/01/2026 12:55:08;OLT-ZTE-5;Americana;Reparo de Fibra
Horizon Telecom;Suporte Wi-Fi;Americana;20264272378;08/01/2026 22:15:24;Maria Oliveira;Em deslocamento;10/01/2026 19:15:24;OLT-HUAWEI-4;Americana;Suporte Wi-Fi
Horizon Telecom;Mudança de Endereço;Americana;20261321465;09/01/2026 16:37:07;Ana Souza;Aberto;09/01/2026 21:37:07;OLT-NOKIA-10;Americana;Mudança de Endereço
Conecta+;Reparo de Fibra;Sumaré;20262310053;24/01/2026 09:26:50;João Silva;Aberto;24/01/2026 14:26:50;OLT-HUAWEI-4;Sumaré;Reparo de Fibra
FiberTech;Suporte Wi-Fi;Americana;20266599176;07/02/2026 02:18:17;Carlos Santos;Aberto;08/02/2026 16:18:17;OLT-ZTE-5;Americana;Suporte Wi-Fi
Conecta+;Suporte Wi-Fi;Americana;20264269162;03/02/2026 07:39:48;Kevyn Ferrezin;Em deslocamento;04/02/2026 15:39:48;OLT-NOKIA-8;Americana;Suporte Wi-Fi
FiberTech;Instalação Nova;Americana;20266309579;31/01/2026 20:16:23;João Silva;Em deslocamento;02/02/2026 09:16:23;OLT-HUAWEI-1;Americana;Instalação Nova
Horizon Telecom;Instalação Nova;Paulínia;20268754262;19/01/2026 23:47:00;Ana Souza;Pendente;21/01/2026 14:47:00;OLT-ZTE-8;Paulínia;Instalação Nova
Conecta+;Mudança de Endereço;Hortolândia;20262935824;22/01/2026 21:12:58;Carlos Santos;Pendente;24/01/2026 01:12:58;OLT-NOKIA-5;Hortolândia;Mudança de Endereço
Horizon Telecom;Instalação Nova;Hortolândia;20261676359;04/01/2026 23:41:32;Carlos Santos;Pendente;06/01/2026 19:41:32;OLT-ZTE-2;Hortolândia;Instalação Nova
Horizon Telecom;Mudança de Endereço;Americana;20263433452;06/02/2026 08:21:56;Kevyn Ferrezin;Aberto;07/02/2026 12:21:56;OLT-NOKIA-9;Americana;Mudança de Endereço
Horizon Telecom;Instalação Nova;Hortolândia;20265316093;04/02/2026 14:20:03;Ana Souza;Pendente;06/02/2026 14:20:03;OLT-NOKIA-6;Hortolândia;Instalação Nova
Horizon Telecom;Mudança de Endereço;Sumaré;20266307018;26/01/2026 02:02:23;Ana Souza;Aberto;28/01/2026 00:02:23;OLT-HUAWEI-8;Sumaré;Mudança de Endereço
FiberTech;Suporte Wi-Fi;Americana;20261269245;17/02/2026 18:48:41;Kevyn Ferrezin;Aberto;18/02/2026 19:48:41;OLT-ZTE-6;Americana;Suporte Wi-Fi
Horizon Telecom;Mudança de Endereço;Paulínia;20267096708;15/02/2026 03:31:58;Carlos Santos;Em deslocamento;16/02/2026 02:31:58;OLT-NOKIA-6;Paulínia;Mudança de Endereço
Conecta+;Mudança de Endereço;Americana;20266640211;02/01/2026 04:19:14;Kevyn Ferrezin;Pendente;02/01/2026 10:19:14;OLT-NOKIA-9;Americana;Mudança de Endereço
Horizon Telecom;Instalação Nova;Sumaré;20267547149;23/01/2026 05:29:06;Ana Souza;Pendente;25/01/2026 00:29:06;OLT-ZTE-1;Sumaré;Instalação Nova
FiberTech;Mudança de Endereço;Sumaré;20262916951;25/01/2026 02:33:40;Carlos Santos;Em deslocamento;26/01/2026 16:33:40;OLT-ZTE-10;Sumaré;Mudança de Endereço
FiberTech;Mudança de Endereço;Sumaré;20265872491;09/02/2026 22:18:27;João Silva;Pendente;11/02/2026 07:18:27;OLT-NOKIA-8;Sumaré;Mudança de Endereço
Conecta+;Mudança de Endereço;Sumaré;20268332202;01/01/2026 12:34:38;Ana Souza;Pendente;03/01/2026 05:34:38;OLT-HUAWEI-8;Sumaré;Mudança de Endereço
Horizon Telecom;Troca de Tecnologia;Campinas;20268300096;07/02/2026 13:48:32;Maria Oliveira;Aberto;09/02/2026 09:48:32;OLT-HUAWEI-5;Campinas;Troca de Tecnologia
Horizon Telecom;Troca de Tecnologia;Paulínia;20263067644;05/02/2026 21:05:46;Kevyn Ferrezin;Aberto;06/02/2026 22:05:46;OLT-HUAWEI-5;Paulínia;Troca de Tecnologia
Conecta+;Instalação Nova;Valinhos;20265083343;23/01/2026 23:46:31;Maria Oliveira;Aberto;24/01/2026 17:46:31;OLT-NOKIA-10;Valinhos;Instalação Nova
Horizon Telecom;Troca de Tecnologia;Campinas;20264520667;06/02/2026 02:49:48;Maria Oliveira;Aberto;07/02/2026 11:49:48;OLT-NOKIA-10;Campinas;Troca de Tecnologia
Conecta+;Mudança de Endereço;Hortolândia;20262482483;04/02/2026 22:32:12;Ana Souza;Em deslocamento;06/02/2026 09:32:12;OLT-HUAWEI-2;Hortolândia;Mudança de Endereço
FiberTech;Troca de Tecnologia;Valinhos;20269066098;02/02/2026 16:51:21;Carlos Santos;Aberto;03/02/2026 16:51:21;OLT-ZTE-2;Valinhos;Troca de Tecnologia
FiberTech;Troca de Tecnologia;Americana;20265362506;31/01/2026 10:33:43;Ana Souza;Aberto;01/02/2026 00:33:43;OLT-NOKIA-4;Americana;Troca de Tecnologia
FiberTech;Mudança de Endereço;Sumaré;20264119696;17/01/2026 17:31:13;Kevyn Ferrezin;Em deslocamento;18/01/2026 09:31:13;OLT-NOKIA-10;Sumaré;Mudança de Endereço
Conecta+;Suporte Wi-Fi;Americana;20266803169;22/01/2026 09:44:50;João Silva;Em deslocamento;23/01/2026 21:44:50;OLT-HUAWEI-4;Americana;Suporte Wi-Fi
FiberTech;Reparo de Fibra;Americana;20267500681;09/02/2026 04:05:42;Carlos Santos;Em deslocamento;10/02/2026 00:05:42;OLT-ZTE-10;Americana;Reparo de Fibra
Horizon Telecom;Suporte Wi-Fi;Americana;20268214382;09/01/2026 09:09:35;Kevyn Ferrezin;Aberto;10/01/2026 03:09:35;OLT-ZTE-4;Americana;Suporte Wi-Fi
Conecta+;Suporte Wi-Fi;Valinhos;20268344131;10/02/2026 20:37:15;Maria Oliveira;Aberto;11/02/2026 08:37:15;OLT-ZTE-7;Valinhos;Suporte Wi-Fi
FiberTech;Troca de Tecnologia;Valinhos;20262396026;18/02/2026 19:21:02;Carlos Santos;Em deslocamento;19/02/2026 14:21:02;OLT-ZTE-3;Valinhos;Troca de Tecnologia
Conecta+;Reparo de Fibra;Sumaré;20265118966;16/01/2026 07:02:17;Kevyn Ferrezin;Aberto;17/01/2026 12:02:17;OLT-HUAWEI-2;Sumaré;Reparo de Fibra
Horizon Telecom;Reparo de Fibra;Valinhos;20265192533;11/01/2026 16:42:27;Maria Oliveira;Aberto;11/01/2026 21:42:27;OLT-HUAWEI-10;Valinhos;Reparo de Fibra
Conecta+;Suporte Wi-Fi;Americana;20268955259;12/01/2026 18:58:44;Carlos Santos;Pendente;14/01/2026 16:58:44;OLT-NOKIA-2;Americana;Suporte Wi-Fi
Conecta+;Reparo de Fibra;Valinhos;20261066407;16/02/2026 17:12:50;Carlos Santos;Em deslocamento;17/02/2026 11:12:50;OLT-NOKIA-5;Valinhos;Reparo de Fibra
Conecta+;Troca de Tecnologia;Hortolândia;20265045143;09/02/2026 19:42:18;João Silva;Aberto;09/02/2026 22:42:18;OLT-ZTE-3;Hortolândia;Troca de Tecnologia
Conecta+;Mudança de Endereço;Sumaré;20266532948;31/01/2026 14:48:42;Carlos Santos;Em deslocamento;01/02/2026 01:48:42;OLT-ZTE-5;Sumaré;Mudança de Endereço
FiberTech;Mudança de Endereço;Americana;20269336894;14/02/2026 10:42:37;Kevyn Ferrezin;Pendente;14/02/2026 15:42:37;OLT-NOKIA-5;Americana;Mudança de Endereço
FiberTech;Troca de Tecnologia;Americana;20269880693;02/02/2026 05:00:15;Kevyn Ferrezin;Aberto;03/02/2026 00:00:15;OLT-NOKIA-7;Americana;Troca de Tecnologia
Conecta+;Instalação Nova;Hortolândia;20266457872;20/01/2026 06:46:42;João Silva;Aberto;21/01/2026 04:46:42;OLT-ZTE-1;Hortolândia;Instalação Nova
Horizon Telecom;Troca de Tecnologia;Valinhos;20263100134;01/02/2026 08:27:45;Carlos Santos;Aberto;01/02/2026 10:27:45;OLT-NOKIA-3;Valinhos;Troca de Tecnologia
FiberTech;Suporte Wi-Fi;Americana;20268039435;18/01/2026 04:46:36;Carlos Santos;Em deslocamento;18/01/2026 08:46:36;OLT-HUAWEI-3;Americana;Suporte Wi-Fi
Conecta+;Instalação Nova;Campinas;20267806312;19/01/2026 06:52:28;Maria Oliveira;Em deslocamento;21/01/2026 06:52:28;OLT-ZTE-9;Campinas;Instalação Nova
Conecta+;Reparo de Fibra;Valinhos;20261570932;20/01/2026 02:28:02;Carlos Santos;Em deslocamento;20/01/2026 14:28:02;OLT-ZTE-3;Valinhos;Reparo de Fibra
FiberTech;Suporte Wi-Fi;Americana;20266449278;10/01/2026 09:34:50;João Silva;Em deslocamento;11/01/2026 06:34:50;OLT-HUAWEI-7;Americana;Suporte Wi-Fi
Conecta+;Reparo de Fibra;Sumaré;20268083729;22/01/2026 18:59:03;Ana Souza;Em deslocamento;24/01/2026 01:59:03;OLT-ZTE-5;Sumaré;Reparo de Fibra
Horizon Telecom;Troca de Tecnologia;Sumaré;20262695684;17/01/2026 01:54:23;Kevyn Ferrezin;Pendente;17/01/2026 10:54:23;OLT-ZTE-10;Sumaré;Troca de Tecnologia
Conecta+;Instalação Nova;Sumaré;20267852351;08/01/2026 07:19:10;Carlos Santos;Em deslocamento;08/01/2026 18:19:10;OLT-ZTE-9;Sumaré;Instalação Nova
FiberTech;Mudança de Endereço;Paulínia;20269929836;29/01/2026 04:12:22;Kevyn Ferrezin;Pendente;31/01/2026 00:12:22;OLT-ZTE-7;Paulínia;Mudança de Endereço
FiberTech;Suporte Wi-Fi;Americana;20264428463;25/01/2026 20:27:56;Carlos Santos;Pendente;26/01/2026 00:27:56;OLT-NOKIA-6;Americana;Suporte Wi-Fi
Horizon Telecom;Reparo de Fibra;Sumaré;20266562984;23/01/2026 01:09:28;Kevyn Ferrezin;Em deslocamento;23/01/2026 16:09:28;OLT-NOKIA-8;Sumaré;Reparo de Fibra
Conecta+;Reparo de Fibra;Paulínia;20267523311;11/01/2026 07:56:06;Ana Souza;Em deslocamento;12/01/2026 10:56:06;OLT-ZTE-8;Paulínia;Reparo de Fibra
Horizon Telecom;Troca de Tecnologia;Campinas;20261947373;01/02/2026 01:16:54;Maria Oliveira;Em deslocamento;01/02/2026 05:16:54;OLT-NOKIA-5;Campinas;Troca de Tecnologia
Horizon Telecom;Suporte Wi-Fi;Sumaré;20262684475;24/01/2026 08:10:18;Carlos Santos;Pendente;25/01/2026 22:10:18;OLT-NOKIA-7;Sumaré;Suporte Wi-Fi
FiberTech;Reparo de Fibra;Sumaré;20261781176;05/02/2026 12:20:34;Ana Souza;Aberto;06/02/2026 22:20:34;OLT-NOKIA-1;Sumaré;Reparo de Fibra
Horizon Telecom;Troca de Tecnologia;Paulínia;20266550777;23/01/2026 08:31:02;Ana Souza;Pendente;23/01/2026 15:31:02;OLT-NOKIA-6;Paulínia;Troca de Tecnologia
Conecta+;Suporte Wi-Fi;Sumaré;20267314331;03/01/2026 03:38:07;João Silva;Pendente;04/01/2026 23:38:07;OLT-NOKIA-5;Sumaré;Suporte Wi-Fi
Conecta+;Mudança de Endereço;Americana;20267531278;01/02/2026 06:02:31;Carlos Santos;Em deslocamento;01/02/2026 23:02:31;OLT-NOKIA-4;Americana;Mudança de Endereço
Conecta+;Suporte Wi-Fi;Campinas;20264612279;18/02/2026 17:41:44;Carlos Santos;Pendente;20/02/2026 05:41:44;OLT-NOKIA-3;Campinas;Suporte Wi-Fi
FiberTech;Instalação Nova;Campinas;20263392411;15/01/2026 16:13:15;Maria Oliveira;Em deslocamento;17/01/2026 07:13:15;OLT-ZTE-2;Campinas;Instalação Nova
Horizon Telecom;Instalação Nova;Americana;20268901802;22/01/2026 00:30:47;João Silva;Pendente;24/01/2026 00:30:47;OLT-ZTE-8;Americana;Instalação Nova
FiberTech;Reparo de Fibra;Hortolândia;20265529460;13/02/2026 09:39:52;Carlos Santos;Pendente;14/02/2026 23:39:52;OLT-NOKIA-6;Hortolândia;Reparo de Fibra
Horizon Telecom;Mudança de Endereço;Americana;20265564145;14/01/2026 15:53:45;Kevyn Ferrezin;Pendente;15/01/2026 08:53:45;OLT-NOKIA-5;Americana;Mudança de Endereço
Conecta+;Troca de Tecnologia;Paulínia;20265155473;18/02/2026 01:26:22;Carlos Santos;Pendente;19/02/2026 03:26:22;OLT-ZTE-6;Paulínia;Troca de Tecnologia
Horizon Telecom;Mudança de Endereço;Valinhos;20268909628;16/01/2026 17:55:40;João Silva;Pendente;18/01/2026 06:55:40;OLT-ZTE-10;Valinhos;Mudança de Endereço
Horizon Telecom;Troca de Tecnologia;Americana;20263250409;09/02/2026 05:31:43;João Silva;Em deslocamento;09/02/2026 10:31:43;OLT-HUAWEI-7;Americana;Troca de Tecnologia
Horizon Telecom;Instalação Nova;Valinhos;20267674107;10/01/2026 00:24:03;Maria Oliveira;Pendente;11/01/2026 21:24:03;OLT-ZTE-7;Valinhos;Instalação Nova
Conecta+;Suporte Wi-Fi;Valinhos;20268464025;28/01/2026 19:45:16;Kevyn Ferrezin;Pendente;29/01/2026 07:45:16;OLT-ZTE-10;Valinhos;Suporte Wi-Fi
Horizon Telecom;Troca de Tecnologia;Americana;20264427879;29/01/2026 17:45:28;Carlos Santos;Em deslocamento;30/01/2026 05:45:28;OLT-NOKIA-10;Americana;Troca de Tecnologia
FiberTech;Mudança de Endereço;Valinhos;20268587610;12/01/2026 13:07:07;Kevyn Ferrezin;Pendente;13/01/2026 08:07:07;OLT-HUAWEI-8;Valinhos;Mudança de Endereço
FiberTech;Suporte Wi-Fi;Hortolândia;20269295706;12/01/2026 17:43:18;Maria Oliveira;Pendente;13/01/2026 18:43:18;OLT-HUAWEI-7;Hortolândia;Suporte Wi-Fi
Conecta+;Instalação Nova;Paulínia;20266044359;17/02/2026 23:23:22;João Silva;Em deslocamento;18/02/2026 01:23:22;OLT-HUAWEI-6;Paulínia;Instalação Nova
FiberTech;Mudança de Endereço;Sumaré;20269908113;17/02/2026 09:43:37;Maria Oliveira;Pendente;17/02/2026 16:43:37;OLT-NOKIA-10;Sumaré;Mudança de Endereço
Conecta+;Reparo de Fibra;Hortolândia;20266701773;11/01/2026 23:53:54;Maria Oliveira;Em deslocamento;12/01/2026 12:53:54;OLT-HUAWEI-3;Hortolândia;Reparo de Fibra
Horizon Telecom;Reparo de Fibra;Sumaré;20267613492;06/02/2026 21:43:56;Kevyn Ferrezin;Em deslocamento;08/02/2026 03:43:56;OLT-ZTE-6;Sumaré;Reparo de Fibra
FiberTech;Troca de Tecnologia;Valinhos;20268049993;31/01/2026 17:24:49;João Silva;Aberto;02/02/2026 08:24:49;OLT-ZTE-10;Valinhos;Troca de Tecnologia
FiberTech;Suporte Wi-Fi;Paulínia;20263284015;09/01/2026 05:25:16;Maria Oliveira;Em deslocamento;09/01/2026 07:25:16;OLT-NOKIA-2;Paulínia;Suporte Wi-Fi
Conecta+;Instalação Nova;Sumaré;20264194811;13/02/2026 15:42:29;Kevyn Ferrezin;Aberto;15/02/2026 15:42:29;OLT-HUAWEI-10;Sumaré;Instalação Nova
FiberTech;Instalação Nova;Americana;20267600533;02/02/2026 19:05:35;João Silva;Pendente;03/02/2026 06:05:35;OLT-ZTE-6;Americana;Instalação Nova
Conecta+;Suporte Wi-Fi;Paulínia;20263075110;05/01/2026 12:58:45;Ana Souza;Aberto;05/01/2026 23:58:45;OLT-ZTE-9;Paulínia;Suporte Wi-Fi
FiberTech;Instalação Nova;Hortolândia;20261370744;02/01/2026 17:26:35;Carlos Santos;Pendente;03/01/2026 01:26:35;OLT-HUAWEI-10;Hortolândia;Instalação Nova
Conecta+;Reparo de Fibra;Sumaré;20264453397;01/02/2026 03:06:50;João Silva;Pendente;02/02/2026 21:06:50;OLT-NOKIA-7;Sumaré;Reparo de Fibra
Conecta+;Reparo de Fibra;Sumaré;20266757733;05/02/2026 04:01:35;Maria Oliveira;Em deslocamento;05/02/2026 22:01:35;OLT-NOKIA-10;Sumaré;Reparo de Fibra
Conecta+;Instalação Nova;Valinhos;20268189668;26/01/2026 06:46:23;Carlos Santos;Pendente;27/01/2026 16:46:23;OLT-HUAWEI-10;Valinhos;Instalação Nova
Horizon Telecom;Instalação Nova;Americana;20269528427;14/02/2026 19:42:18;Ana Souza;Em deslocamento;14/02/2026 23:42:18;OLT-HUAWEI-5;Americana;Instalação Nova
Conecta+;Reparo de Fibra;Americana;20262661998;20/01/2026 18:30:37;João Silva;Aberto;21/01/2026 14:30:37;OLT-HUAWEI-6;Americana;Reparo de Fibra
Horizon Telecom;Suporte Wi-Fi;Campinas;20262755017;01/01/2026 12:03:06;João Silva;Em deslocamento;03/01/2026 08:03:06;OLT-NOKIA-7;Campinas;Suporte Wi-Fi
Conecta+;Reparo de Fibra;Hortolândia;20263143866;04/02/2026 15:07:55;Carlos Santos;Aberto;05/02/2026 12:07:55;OLT-ZTE-2;Hortolândia;Reparo de Fibra
FiberTech;Suporte Wi-Fi;Hortolândia;20268008332;13/01/2026 01:43:00;Carlos Santos;Pendente;14/01/2026 23:43:00;OLT-NOKIA-2;Hortolândia;Suporte Wi-Fi
Horizon Telecom;Mudança de Endereço;Sumaré;20267429475;19/01/2026 07:37:27;Kevyn Ferrezin;Em deslocamento;20/01/2026 22:37:27;OLT-NOKIA-8;Sumaré;Mudança de Endereço
FiberTech;Troca de Tecnologia;Americana;20263024745;21/01/2026 12:27:54;Ana Souza;Aberto;22/01/2026 15:27:54;OLT-NOKIA-10;Americana;Troca de Tecnologia
FiberTech;Mudança de Endereço;Americana;20269245687;16/01/2026 18:41:01;Carlos Santos;Aberto;17/01/2026 18:41:01;OLT-ZTE-6;Americana;Mudança de Endereço
FiberTech;Instalação Nova;Paulínia;20265544250;15/01/2026 09:40:25;Maria Oliveira;Aberto;15/01/2026 15:40:25;OLT-NOKIA-10;Paulínia;Instalação Nova
Horizon Telecom;Mudança de Endereço;Campinas;20266781044;30/01/2026 10:29:24;Carlos Santos;Pendente;01/02/2026 02:29:24;OLT-HUAWEI-5;Campinas;Mudança de Endereço
FiberTech;Reparo de Fibra;Valinhos;20267500225;12/01/2026 06:35:57;João Silva;Aberto;13/01/2026 04:35:57;OLT-NOKIA-2;Valinhos;Reparo de Fibra
FiberTech;Troca de Tecnologia;Hortolândia;20266809200;11/01/2026 17:39:57;Kevyn Ferrezin;Pendente;12/01/2026 11:39:57;OLT-HUAWEI-2;Hortolândia;Troca de Tecnologia
FiberTech;Mudança de Endereço;Hortolândia;20265869996;01/01/2026 00:23:44;Carlos Santos;Pendente;03/01/2026 00:23:44;OLT-NOKIA-6;Hortolândia;Mudança de Endereço
