empresa;descrição;cidade;protocolo;created_at;status_os;data_encerramento_prot;OLT;Regional;Motivo;Motivo do Cancelamento;Setor que cancelou
FiberTech;Troca de Tecnologia;Paulínia;20262963175;30/12/2025 13:42:55;Cancelado;02/01/2026 19:42:55;OLT-ZTE-6;Paulínia;Troca de Tecnologia;Mudança de Cidade;Comercial
Conecta+;Suporte Wi-Fi;Americana;20262959114;07/01/2026 22:07:24;Cancelado;15/01/2026 07:07:24;OLT-ZTE-6;Americana;Suporte Wi-Fi;Mudança de Cidade;Telemarketing
Horizon Telecom;Troca de Tecnologia;Sumaré;20264743419;16/01/2026 17:51:39;Cancelado;20/01/2026 05:51:39;OLT-HUAWEI-3;Sumaré;Troca de Tecnologia;Preço Elevado;Retenção
Conecta+;Suporte Wi-Fi;Sumaré;20262814936;01/01/2026 15:38:07;Cancelado;06/01/2026 22:38:07;OLT-ZTE-5;Sumaré;Suporte Wi-Fi;Problemas Técnicos;Financeiro
Horizon Telecom;Troca de Tecnologia;Hortolândia;20263480370;19/01/2026 02:53:11;Cancelado;23/01/2026 04:53:11;OLT-NOKIA-3;Hortolândia;Troca de Tecnologia;Troca por Concorrente;Comercial
Conecta+;Suporte Wi-Fi;Sumaré;20269922491;06/02/2026 11:55:29;Cancelado;08/02/2026 12:55:29;OLT-NOKIA-8;Sumaré;Suporte Wi-Fi;Troca por Concorrente;Telemarketing
Conecta+;Suporte Wi-Fi;Sumaré;20269453491;07/01/2026 18:14:20;Cancelado;13/01/2026 06:14:20;OLT-NOKIA-9;Sumaré;Suporte Wi-Fi;Troca por Concorrente;Retenção
Horizon Telecom;Reparo de Fibra;Valinhos;20269904451;08/01/2026 13:27:07;Cancelado;10/01/2026 00:27:07;OLT-ZTE-8;Valinhos;Reparo de Fibra;Problemas Técnicos;Retenção
Conecta+;Suporte Wi-Fi;Campinas;20266482656;30/01/2026 19:00:19;Cancelado;01/02/2026 01:00:19;OLT-NOKIA-8;Campinas;Suporte Wi-Fi;Mudança de Cidade;Comercial
FiberTech;Troca de Tecnologia;Hortolândia;20263437235;24/01/2026 12:35:53;Cancelado;30/01/2026 15:35:53;OLT-ZTE-8;Hortolândia;Troca de Tecnologia;Mudança de Cidade;Comercial
FiberTech;Troca de Tecnologia;Paulínia;20269799816;31/12/2025 03:14:10;Cancelado;04/01/2026 10:14:10;OLT-ZTE-9;Paulínia;Troca de Tecnologia;Troca por Concorrente;Comercial
Horizon Telecom;Instalação Nova;Americana;20263122155;22/01/2026 22:06:39;Cancelado;27/01/2026 22:06:39;OLT-NOKIA-6;Americana;Instalação Nova;Troca por Concorrente;Comercial
Conecta+;Suporte Wi-Fi;Hortolândia;20262683305;16/01/2026 02:28:23;Cancelado;21/01/2026 02:28:23;OLT-ZTE-4;Hortolândia;Suporte Wi-Fi;Preço Elevado;Retenção
Horizon Telecom;Mudança de Endereço;Hortolândia;20268094612;27/12/2025 05:11:07;Cancelado;01/01/2026 06:11:07;OLT-NOKIA-4;Hortolândia;Mudança de Endereço;Mudança de Cidade;Comercial
FiberTech;Suporte Wi-Fi;Campinas;20265005185;31/12/2025 12:51:46;Cancelado;03/01/2026 23:51:46;OLT-NOKIA-9;Campinas;Suporte Wi-Fi;Problemas Técnicos;Telemarketing
Conecta+;Instalação Nova;Americana;20269451584;19/01/2026 17:58:32;Cancelado;26/01/2026 19:58:32;OLT-ZTE-10;Americana;Instalação Nova;Mudança de Cidade;Financeiro
Conecta+;Reparo de Fibra;Valinhos;20268460671;02/01/2026 17:04:57;Cancelado;08/01/2026 20:04:57;OLT-ZTE-4;Valinhos;Reparo de Fibra;Preço Elevado;Telemarketing
Conecta+;Reparo de Fibra;Campinas;20263344443;04/01/2026 16:31:17;Cancelado;12/01/2026 03:31:17;OLT-ZTE-10;Campinas;Reparo de Fibra;Mudança de Cidade;Comercial
FiberTech;Reparo de Fibra;Americana;20263020525;02/02/2026 23:19:36;Cancelado;06/02/2026 00:19:36;OLT-NOKIA-10;Americana;Reparo de Fibra;Problemas Técnicos;Comercial
FiberTech;Mudança de Endereço;Hortolândia;20261404420;13/02/2026 03:14:18;Cancelado;17/02/2026 14:14:18;OLT-HUAWEI-6;Hortolândia;Mudança de Endereço;Mudança de Cidade;Financeiro
Conecta+;Troca de Tecnologia;Americana;20262847449;28/01/2026 23:49:42;Cancelado;01/02/2026 04:49:42;OLT-ZTE-6;Americana;Troca de Tecnologia;Mudança de Cidade;Telemarketing
FiberTech;Troca de Tecnologia;Hortolândia;20267203108;23/01/2026 11:18:29;Cancelado;25/01/2026 14:18:29;OLT-HUAWEI-7;Hortolândia;Troca de Tecnologia;Problemas Técnicos;Comercial
FiberTech;Mudança de Endereço;Campinas;20266192377;11/02/2026 11:31:17;Cancelado;15/02/2026 19:31:17;OLT-HUAWEI-8;Campinas;Mudança de Endereço;Mudança de Cidade;Retenção
Conecta+;Reparo de Fibra;Paulínia;20266583134;13/02/2026 20:02:48;Cancelado;16/02/2026 06:02:48;OLT-HUAWEI-2;Paulínia;Reparo de Fibra;Mudança de Cidade;Financeiro
Horizon Telecom;Troca de Tecnologia;Valinhos;20265237872;13/01/2026 10:35:08;Cancelado;16/01/2026 10:35:08;OLT-HUAWEI-10;Valinhos;Troca de Tecnologia;Problemas Técnicos;Financeiro
Conecta+;Troca de Tecnologia;Americana;20269479969;05/02/2026 18:06:45;Cancelado;06/02/2026 02:06:45;OLT-ZTE-4;Americana;Troca de Tecnologia;Mudança de Cidade;Retenção
Horizon Telecom;Troca de Tecnologia;Campinas;20262478171;26/01/2026 10:19:00;Cancelado;31/01/2026 18:19:00;OLT-ZTE-6;Campinas;Troca de Tecnologia;Mudança de Cidade;Retenção
Horizon Telecom;Reparo de Fibra;Sumaré;20262776302;14/01/2026 18:36:07;Cancelado;14/01/2026 22:36:07;OLT-ZTE-8;Sumaré;Reparo de Fibra;Problemas Técnicos;Telemarketing
Conecta+;Troca de Tecnologia;Hortolândia;20266524553;02/01/2026 21:52:22;Cancelado;06/01/2026 22:52:22;OLT-HUAWEI-5;Hortolândia;Troca de Tecnologia;Mudança de Cidade;Telemarketing
Conecta+;Reparo de Fibra;Hortolândia;20267944472;02/01/2026 15:19:53;Cancelado;07/01/2026 01:19:53;OLT-ZTE-8;Hortolândia;Reparo de Fibra;Problemas Técnicos;Retenção
Conecta+;Suporte Wi-Fi;Paulínia;20268572866;06/01/2026 01:48:23;Cancelado;07/01/2026 12:48:23;OLT-ZTE-7;Paulínia;Suporte Wi-Fi;Problemas Técnicos;Retenção
Horizon Telecom;Instalação Nova;Sumaré;20261660790;07/02/2026 09:50:58;Cancelado;10/02/2026 11:50:58;OLT-ZTE-9;Sumaré;Instalação Nova;Mudança de Cidade;Comercial
Conecta+;Mudança de Endereço;Valinhos;20264742624;01/02/2026 09:09:44;Cancelado;02/02/2026 15:09:44;OLT-HUAWEI-6;Valinhos;Mudança de Endereço;Problemas Técnicos;Financeiro
Conecta+;Reparo de Fibra;Sumaré;20261034270;04/02/2026 16:21:13;Cancelado;08/02/2026 22:21:13;OLT-HUAWEI-2;Sumaré;Reparo de Fibra;Problemas Técnicos;Financeiro
Horizon Telecom;Instalação Nova;Campinas;20265309696;25/01/2026 04:54:20;Cancelado;30/01/2026 13:54:20;OLT-ZTE-1;Campinas;Instalação Nova;Mudança de Cidade;Retenção
Horizon Telecom;Troca de Tecnologia;Valinhos;20268334843;26/12/2025 23:02:02;Cancelado;01/01/2026 08:02:02;OLT-NOKIA-6;Valinhos;Troca de Tecnologia;Preço Elevado;Financeiro
Horizon Telecom;Reparo de Fibra;Paulínia;20262109092;11/01/2026 19:28:54;Cancelado;13/01/2026 07:28:54;OLT-NOKIA-9;Paulínia;Reparo de Fibra;Troca por Concorrente;Financeiro
Horizon Telecom;Reparo de Fibra;Americana;20262947650;29/12/2025 03:56:14;Cancelado;01/01/2026 04:56:14;OLT-HUAWEI-1;Americana;Reparo de Fibra;Troca por Concorrente;Comercial
Horizon Telecom;Reparo de Fibra;Americana;20262949479;02/01/2026 19:35:35;Cancelado;10/01/2026 01:35:35;OLT-NOKIA-9;Americana;Reparo de Fibra;Preço Elevado;Retenção
Conecta+;Instalação Nova;Americana;20262795051;07/02/2026 20:51:21;Cancelado;09/02/2026 08:51:21;OLT-HUAWEI-6;Americana;Instalação Nova;Troca por Concorrente;Retenção
Horizon Telecom;Suporte Wi-Fi;Paulínia;20261153582;05/02/2026 03:14:36;Cancelado;10/02/2026 05:14:36;OLT-NOKIA-6;Paulínia;Suporte Wi-Fi;Preço Elevado;Telemarketing
FiberTech;Instalação Nova;Campinas;20264627532;03/01/2026 16:09:43;Cancelado;04/01/2026 17:09:43;OLT-NOKIA-9;Campinas;Instalação Nova;Problemas Técnicos;Financeiro
Conecta+;Mudança de Endereço;Sumaré;20265374162;28/12/2025 10:16:20;Cancelado;01/01/2026 15:16:20;OLT-ZTE-6;Sumaré;Mudança de Endereço;Troca por Concorrente;Comercial
Horizon Telecom;Troca de Tecnologia;Paulínia;20262724783;07/02/2026 18:18:35;Cancelado;07/02/2026 22:18:35;OLT-NOKIA-6;Paulínia;Troca de Tecnologia;Problemas Técnicos;Financeiro
Horizon Telecom;Suporte Wi-Fi;Americana;20261629598;02/02/2026 08:46:03;Cancelado;06/02/2026 13:46:03;OLT-ZTE-4;Americana;Suporte Wi-Fi;Preço Elevado;Telemarketing
Conecta+;Suporte Wi-Fi;Hortolândia;20268351670;11/02/2026 21:21:21;Cancelado;12/02/2026 23:21:21;OLT-ZTE-9;Hortolândia;Suporte Wi-Fi;Problemas Técnicos;Telemarketing
Horizon Telecom;Suporte Wi-Fi;Hortolândia;20269419229;01/01/2026 07:56:13;Cancelado;07/01/2026 10:56:13;OLT-HUAWEI-1;Hortolândia;Suporte Wi-Fi;Mudança de Cidade;Retenção
FiberTech;Instalação Nova;Valinhos;20268254609;28/01/2026 14:42:44;Cancelado;03/02/2026 02:42:44;OLT-ZTE-9;Valinhos;Instalação Nova;Problemas Técnicos;Financeiro
Horizon Telecom;Instalação Nova;Campinas;20266563141;29/01/2026 22:58:47;Cancelado;01/02/2026 08:58:47;OLT-NOKIA-9;Campinas;Instalação Nova;Problemas Técnicos;Financeiro
Horizon Telecom;Suporte Wi-Fi;Valinhos;20266002751;25/01/2026 16:54:32;Cancelado;01/02/2026 18:54:32;OLT-HUAWEI-9;Valinhos;Suporte Wi-Fi;Preço Elevado;Financeiro
Conecta+;Suporte Wi-Fi;Valinhos;20267898103;11/01/2026 07:19:37;Cancelado;11/01/2026 15:19:37;OLT-NOKIA-4;Valinhos;Suporte Wi-Fi;Preço Elevado;Financeiro
FiberTech;Reparo de Fibra;Paulínia;20269944793;13/01/2026 09:40:28;Cancelado;19/01/2026 12:40:28;OLT-HUAWEI-3;Paulínia;Reparo de Fibra;Mudança de Cidade;Telemarketing
Conecta+;Troca de Tecnologia;Valinhos;20262666088;31/12/2025 01:54:02;Cancelado;01/01/2026 01:54:02;OLT-ZTE-8;Valinhos;Troca de Tecnologia;Preço Elevado;Financeiro
Horizon Telecom;Troca de Tecnologia;Paulínia;20263281148;29/12/2025 02:39:21;Cancelado;02/01/2026 13:39:21;OLT-HUAWEI-9;Paulínia;Troca de Tecnologia;Troca por Concorrente;Financeiro
FiberTech;Mudança de Endereço;Paulínia;20265670156;17/01/2026 09:48:23;Cancelado;19/01/2026 16:48:23;OLT-ZTE-6;Paulínia;Mudança de Endereço;Problemas Técnicos;Telemarketing
Conecta+;Instalação Nova;Valinhos;20261536108;22/01/2026 15:13:54;Cancelado;27/01/2026 23:13:54;OLT-HUAWEI-5;Valinhos;Instalação Nova;Problemas Técnicos;Comercial
Conecta+;Instalação Nova;Paulínia;20266625525;04/02/2026 04:32:12;Cancelado;09/02/2026 11:32:12;OLT-NOKIA-1;Paulínia;Instalação Nova;Problemas Técnicos;Retenção
Horizon Telecom;Reparo de Fibra;Valinhos;20267408928;13/02/2026 22:33:24;Cancelado;18/02/2026 03:33:24;OLT-NOKIA-8;Valinhos;Reparo de Fibra;Preço Elevado;Comercial
Conecta+;Troca de Tecnologia;Campinas;20268732619;30/12/2025 07:44:23;Cancelado;06/01/2026 09:44:23;OLT-ZTE-7;Campinas;Troca de Tecnologia;Mudança de Cidade;Retenção
FiberTech;Reparo de Fibra;Campinas;20268251707;24/01/2026 09:32:21;Cancelado;28/01/2026 19:32:21;OLT-NOKIA-3;Campinas;Reparo de Fibra;Troca por Concorrente;Telemarketing
FiberTech;Reparo de Fibra;Americana;20262255564;04/01/2026 07:41:30;Cancelado;09/01/2026 18:41:30;OLT-HUAWEI-4;Americana;Reparo de Fibra;Troca por Concorrente;Financeiro
Horizon Telecom;Reparo de Fibra;Hortolândia;20269345442;05/02/2026 03:44:32;Cancelado;07/02/2026 12:44:32;OLT-ZTE-6;Hortolândia;Reparo de Fibra;Problemas Técnicos;Financeiro
Conecta+;Reparo de Fibra;Americana;20267921144;23/01/2026 17:51:47;Cancelado;29/01/2026 19:51:47;OLT-ZTE-5;Americana;Reparo de Fibra;Troca por Concorrente;Retenção
FiberTech;Troca de Tecnologia;Hortolândia;20266416643;23/01/2026 17:29:35;Cancelado;30/01/2026 17:29:35;OLT-NOKIA-3;Hortolândia;Troca de Tecnologia;Problemas Técnicos;Telemarketing
Horizon Telecom;Instalação Nova;Campinas;20262660937;03/01/2026 17:36:22;Cancelado;10/01/2026 20:36:22;OLT-ZTE-5;Campinas;Instalação Nova;Mudança de Cidade;Retenção
FiberTech;Reparo de Fibra;Paulínia;20268217312;09/01/2026 03:09:15;Cancelado;10/01/2026 03:09:15;OLT-ZTE-5;Paulínia;Reparo de Fibra;Problemas Técnicos;Telemarketing
FiberTech;Mudança de Endereço;Paulínia;20267787729;22/01/2026 18:22:13;Cancelado;23/01/2026 02:22:13;OLT-NOKIA-3;Paulínia;Mudança de Endereço;Troca por Concorrente;Comercial
FiberTech;Troca de Tecnologia;Americana;20265908887;01/01/2026 10:19:35;Cancelado;08/01/2026 17:19:35;OLT-ZTE-1;Americana;Troca de Tecnologia;Troca por Concorrente;Retenção
Conecta+;Suporte Wi-Fi;Americana;20267544787;29/01/2026 22:48:43;Cancelado;02/02/2026 02:48:43;OLT-NOKIA-1;Americana;Suporte Wi-Fi;Mudança de Cidade;Comercial
Conecta+;Mudança de Endereço;Americana;20269549905;26/01/2026 04:26:47;Cancelado;27/01/2026 13:26:47;OLT-HUAWEI-4;Americana;Mudança de Endereço;Problemas Técnicos;Retenção
Horizon Telecom;Instalação Nova;Valinhos;20262088945;21/01/2026 22:12:20;Cancelado;23/01/2026 00:12:20;OLT-ZTE-5;Valinhos;Instalação Nova;Mudança de Cidade;Telemarketing
Conecta+;Suporte Wi-Fi;Valinhos;20268108760;09/01/2026 00:07:41;Cancelado;15/01/2026 03:07:41;OLT-NOKIA-1;Valinhos;Suporte Wi-Fi;Troca por Concorrente;Retenção
Conecta+;Reparo de Fibra;Hortolândia;20264527908;21/01/2026 04:42:23;Cancelado;25/01/2026 05:42:23;OLT-ZTE-1;Hortolândia;Reparo de Fibra;Problemas Técnicos;Comercial
FiberTech;Suporte Wi-Fi;Paulínia;20267502970;10/01/2026 15:29:56;Cancelado;15/01/2026 01:29:56;OLT-NOKIA-3;Paulínia;Suporte Wi-Fi;Preço Elevado;Retenção
FiberTech;Reparo de Fibra;Hortolândia;20262465710;09/01/2026 10:22:02;Cancelado;13/01/2026 13:22:02;OLT-HUAWEI-1;Hortolândia;Reparo de Fibra;Troca por Concorrente;Comercial
Conecta+;Instalação Nova;Sumaré;20267971942;30/12/2025 13:25:28;Cancelado;05/01/2026 00:25:28;OLT-HUAWEI-1;Sumaré;Instalação Nova;Troca por Concorrente;Comercial
Horizon Telecom;Instalação Nova;Sumaré;20267351464;08/02/2026 02:52:52;Cancelado;12/02/2026 05:52:52;OLT-NOKIA-8;Sumaré;Instalação Nova;Problemas Técnicos;Financeiro
Horizon Telecom;Mudança de Endereço;Valinhos;20263613648;30/01/2026 23:18:01;Cancelado;31/01/2026 05:18:01;OLT-HUAWEI-7;Valinhos;Mudança de Endereço;Preço Elevado;Retenção
Conecta+;Reparo de Fibra;Americana;20267374774;29/12/2025 19:24:27;Cancelado;01/01/2026 04:24:27;OLT-HUAWEI-8;Americana;Reparo de Fibra;Preço Elevado;Retenção
Horizon Telecom;Mudança de Endereço;Paulínia;20263972457;07/01/2026 07:14:17;Cancelado;13/01/2026 07:14:17;OLT-NOKIA-10;Paulínia;Mudança de Endereço;Preço Elevado;Retenção
FiberTech;Troca de Tecnologia;Campinas;20268463903;06/01/2026 07:31:26;Cancelado;11/01/2026 11:31:26;OLT-NOKIA-1;Campinas;Troca de Tecnologia;Mudança de Cidade;Comercial
Conecta+;Instalação Nova;Americana;20263503517;17/01/2026 14:57:55;Cancelado;23/01/2026 19:57:55;OLT-HUAWEI-1;Americana;Instalação Nova;Mudança de Cidade;Comercial
FiberTech;Mudança de Endereço;Hortolândia;20269810438;30/01/2026 10:35:14;Cancelado;02/02/2026 22:35:14;OLT-HUAWEI-5;Hortolândia;Mudança de Endereço;Preço Elevado;Retenção
FiberTech;Instalação Nova;Campinas;20263447890;09/01/2026 14:16:43;Cancelado;15/01/2026 01:16:43;OLT-HUAWEI-1;Campinas;Instalação Nova;Troca por Concorrente;Telemarketing
Horizon Telecom;Mudança de Endereço;Paulínia;20267091164;17/01/2026 04:42:45;Cancelado;17/01/2026 09:42:45;OLT-HUAWEI-3;Paulínia;Mudança de Endereço;Mudança de Cidade;Financeiro
Conecta+;Mudança de Endereço;Hortolândia;20266534273;22/01/2026 20:04:23;Cancelado;26/01/2026 21:04:23;OLT-HUAWEI-1;Hortolândia;Mudança de Endereço;Mudança de Cidade;Financeiro
Horizon Telecom;Suporte Wi-Fi;Sumaré;20265516297;14/01/2026 04:58:37;Cancelado;18/01/2026 13:58:37;OLT-HUAWEI-2;Sumaré;Suporte Wi-Fi;Problemas Técnicos;Financeiro
Horizon Telecom;Reparo de Fibra;Valinhos;20264977086;29/01/2026 03:09:45;Cancelado;29/01/2026 14:09:45;OLT-ZTE-10;Valinhos;Reparo de Fibra;Problemas Técnicos;Financeiro
FiberTech;Instalação Nova;Campinas;20262123055;04/01/2026 05:44:28;Cancelado;07/01/2026 09:44:28;OLT-HUAWEI-5;Campinas;Instalação Nova;Troca por Concorrente;Retenção
Conecta+;Reparo de Fibra;Americana;20267964853;01/01/2026 08:39:51;Cancelado;07/01/2026 10:39:51;OLT-HUAWEI-2;Americana;Reparo de Fibra;Preço Elevado;Retenção
Conecta+;Reparo de Fibra;Sumaré;20266439550;16/01/2026 08:50:46;Cancelado;18/01/2026 12:50:46;OLT-NOKIA-4;Sumaré;Reparo de Fibra;Troca por Concorrente;Financeiro
FiberTech;Reparo de Fibra;Paulínia;20266403373;10/02/2026 18:40:23;Cancelado;10/02/2026 18:40:23;OLT-ZTE-9;Paulínia;Reparo de Fibra;Preço Elevado;Telemarketing
FiberTech;Instalação Nova;Campinas;20264218988;25/01/2026 10:29:35;Cancelado;25/01/2026 16:29:35;OLT-ZTE-8;Campinas;Instalação Nova;Mudança de Cidade;Financeiro
FiberTech;Instalação Nova;Sumaré;20264680037;06/02/2026 17:45:41;Cancelado;12/02/2026 19:45:41;OLT-NOKIA-4;Sumaré;Instalação Nova;Troca por Concorrente;Financeiro
FiberTech;Suporte Wi-Fi;Campinas;20262558244;13/02/2026 22:21:33;Cancelado;13/02/2026 22:21:33;OLT-NOKIA-4;Campinas;Suporte Wi-Fi;Preço Elevado;Telemarketing
Conecta+;Mudança de Endereço;Paulínia;20268546694;09/01/2026 18:14:10;Cancelado;12/01/2026 22:14:10;OLT-HUAWEI-2;Paulínia;Mudança de Endereço;Problemas Técnicos;Telemarketing
Horizon Telecom;Reparo de Fibra;Hortolândia;20262362685;02/01/2026 03:11:08;Cancelado;08/01/2026 14:11:08;OLT-ZTE-5;Hortolândia;Reparo de Fibra;Mudança de Cidade;Financeiro
Conecta+;Mudança de Endereço;Valinhos;20261977613;16/01/2026 22:19:50;Cancelado;20/01/2026 00:19:50;OLT-HUAWEI-1;Valinhos;Mudança de Endereço;Mudança de Cidade;Financeiro
FiberTech;Suporte Wi-Fi;Campinas;20264771533;08/02/2026 05:11:42;Cancelado;08/02/2026 12:11:42;OLT-ZTE-9;Campinas;Suporte Wi-Fi;Mudança de Cidade;Retenção
FiberTech;Troca de Tecnologia;Americana;20267557029;30/12/2025 23:17:05;Cancelado;05/01/2026 06:17:05;OLT-NOKIA-6;Americana;Troca de Tecnologia;Preço Elevado;Comercial
FiberTech;Reparo de Fibra;Valinhos;20269749213;03/02/2026 05:13:57;Cancelado;10/02/2026 09:13:57;OLT-HUAWEI-6;Valinhos;Reparo de Fibra;Mudança de Cidade;Comercial
FiberTech;Reparo de Fibra;Valinhos;20266010609;20/01/2026 18:54:25;Cancelado;21/01/2026 03:54:25;OLT-NOKIA-10;Valinhos;Reparo de Fibra;Preço Elevado;Comercial
Horizon Telecom;Suporte Wi-Fi;Valinhos;20264783279;26/01/2026 16:59:23;Cancelado;29/01/2026 00:59:23;OLT-HUAWEI-9;Valinhos;Suporte Wi-Fi;Troca por Concorrente;Retenção
FiberTech;Suporte Wi-Fi;Sumaré;20266366468;26/01/2026 14:34:13;Cancelado;28/01/2026 19:34:13;OLT-HUAWEI-1;Sumaré;Suporte Wi-Fi;Problemas Técnicos;Telemarketing
FiberTech;Mudança de Endereço;Hortolândia;20261151337;29/01/2026 17:32:38;Cancelado;06/02/2026 00:32:38;OLT-HUAWEI-7;Hortolândia;Mudança de Endereço;Problemas Técnicos;Financeiro
Conecta+;Reparo de Fibra;Campinas;20266668515;21/01/2026 18:44:29;Cancelado;27/01/2026 21:44:29;OLT-ZTE-1;Campinas;Reparo de Fibra;Mudança de Cidade;Retenção
Conecta+;Mudança de Endereço;Campinas;20263251511;08/01/2026 05:53:28;Cancelado;13/01/2026 13:53:28;OLT-NOKIA-8;Campinas;Mudança de Endereço;Preço Elevado;Telemarketing
Horizon Telecom;Troca de Tecnologia;Hortolândia;20269160113;22/01/2026 19:54:13;Cancelado;29/01/2026 05:54:13;OLT-HUAWEI-1;Hortolândia;Troca de Tecnologia;Problemas Técnicos;Comercial
FiberTech;Mudança de Endereço;Valinhos;20268457725;09/02/2026 17:53:34;Cancelado;12/02/2026 18:53:34;OLT-HUAWEI-10;Valinhos;Mudança de Endereço;Troca por Concorrente;Comercial
Conecta+;Troca de Tecnologia;Paulínia;20261675970;09/02/2026 17:10:00;Cancelado;10/02/2026 17:10:00;OLT-NOKIA-7;Paulínia;Troca de Tecnologia;Troca por Concorrente;Retenção
FiberTech;Instalação Nova;Hortolândia;20267469995;08/02/2026 21:55:30;Cancelado;11/02/2026 09:55:30;OLT-NOKIA-3;Hortolândia;Instalação Nova;Mudança de Cidade;Retenção
Conecta+;Suporte Wi-Fi;Paulínia;20262619145;12/02/2026 15:47:49;Cancelado;18/02/2026 19:47:49;OLT-HUAWEI-6;Paulínia;Suporte Wi-Fi;Troca por Concorrente;Financeiro
Horizon Telecom;Reparo de Fibra;Paulínia;20263388142;06/02/2026 22:10:49;Cancelado;08/02/2026 01:10:49;OLT-ZTE-1;Paulínia;Reparo de Fibra;Problemas Técnicos;Telemarketing
FiberTech;Mudança de Endereço;Americana;20262649762;07/02/2026 04:54:47;Cancelado;08/02/2026 04:54:47;OLT-NOKIA-10;Americana;Mudança de Endereço;Preço Elevado;Financeiro
Horizon Telecom;Reparo de Fibra;Hortolândia;20264478501;12/01/2026 17:15:03;Cancelado;18/01/2026 19:15:03;OLT-HUAWEI-2;Hortolândia;Reparo de Fibra;Preço Elevado;Telemarketing
FiberTech;Suporte Wi-Fi;Americana;20262585817;20/01/2026 22:25:46;Cancelado;27/01/2026 06:25:46;OLT-ZTE-10;Americana;Suporte Wi-Fi;Mudança de Cidade;Comercial
Horizon Telecom;Suporte Wi-Fi;Americana;20265507347;13/01/2026 01:17:16;Cancelado;18/01/2026 11:17:16;OLT-HUAWEI-5;Americana;Suporte Wi-Fi;Troca por Concorrente;Comercial
Horizon Telecom;Reparo de Fibra;Valinhos;20263654890;17/01/2026 20:16:07;Cancelado;17/01/2026 21:16:07;OLT-NOKIA-7;Valinhos;Reparo de Fibra;Mudança de Cidade;Telemarketing
FiberTech;Reparo de Fibra;Paulínia;20264767122;05/01/2026 19:39:58;Cancelado;10/01/2026 03:39:58;OLT-ZTE-7;Paulínia;Reparo de Fibra;Troca por Concorrente;Telemarketing
FiberTech;Troca de Tecnologia;Campinas;20267280006;21/01/2026 21:27:24;Cancelado;26/01/2026 04:27:24;OLT-HUAWEI-8;Campinas;Troca de Tecnologia;Mudança de Cidade;Comercial
FiberTech;Suporte Wi-Fi;Campinas;20262818068;13/02/2026 03:15:33;Cancelado;14/02/2026 15:15:33;OLT-NOKIA-10;Campinas;Suporte Wi-Fi;Troca por Concorrente;Retenção
FiberTech;Instalação Nova;Campinas;20263346655;29/01/2026 14:12:39;Cancelado;02/02/2026 00:12:39;OLT-ZTE-7;Campinas;Instalação Nova;Preço Elevado;Retenção
Horizon Telecom;Suporte Wi-Fi;Sumaré;20268185175;11/01/2026 16:08:11;Cancelado;11/01/2026 18:08:11;OLT-ZTE-10;Sumaré;Suporte Wi-Fi;Problemas Técnicos;Comercial
FiberTech;Instalação Nova;Paulínia;20263158600;27/01/2026 22:16:53;Cancelado;01/02/2026 10:16:53;OLT-ZTE-8;Paulínia;Instalação Nova;Mudança de Cidade;Comercial
