empresa;descrição;cidade;protocolo;created_at;Nome do Técnico;status_os;data_encerramento_prot;OLT;Regional;Motivo
Horizon Telecom;Suporte Wi-Fi;Campinas;20261091108;02/02/2026 21:50:03;Carlos Santos;Finalizado;03/02/2026 00:50:03;OLT-NOKIA-4;Campinas;Suporte Wi-Fi
FiberTech;Mudança de Endereço;Americana;20261081776;05/01/2026 21:50:03;Maria Oliveira;Finalizado;06/01/2026 06:50:03;OLT-HUAWEI-9;Americana;Mudança de Endereço
Horizon Telecom;Reparo de Fibra;Paulínia;20263936486;10/02/2026 21:50:03;Kevyn Ferrezin;Finalizado;11/02/2026 18:50:03;OLT-ZTE-1;Paulínia;Reparo de Fibra
Horizon Telecom;Mudança de Endereço;Sumaré;20267078682;16/02/2026 21:50:03;Kevyn Ferrezin;Finalizado;17/02/2026 02:50:03;OLT-ZTE-10;Sumaré;Mudança de Endereço
Horizon Telecom;Reparo de Fibra;Sumaré;20261886359;18/01/2026 21:50:03;Maria Oliveira;Finalizado;19/01/2026 10:50:03;OLT-ZTE-7;Sumaré;Reparo de Fibra
FiberTech;Mudança de Endereço;Sumaré;20262349107;03/02/2026 21:50:03;Kevyn Ferrezin;Finalizado;04/02/2026 05:50:03;OLT-HUAWEI-7;Sumaré;Mudança de Endereço
Horizon Telecom;Suporte Wi-Fi;Americana;20268776626;06/01/2026 21:50:03;Maria Oliveira;Finalizado;07/01/2026 04:50:03;OLT-HUAWEI-8;Americana;Suporte Wi-Fi
Conecta+;Instalação Nova;Sumaré;20262896858;13/02/2026 21:50:03;Maria Oliveira;Finalizado;14/02/2026 00:50:03;OLT-HUAWEI-10;Sumaré;Instalação Nova
Conecta+;Mudança de Endereço;Valinhos;20262602570;20/01/2026 21:50:03;Ana Souza;Finalizado;21/01/2026 02:50:03;OLT-ZTE-5;Valinhos;Mudança de Endereço
FiberTech;Suporte Wi-Fi;Americana;20263403046;28/01/2026 21:50:03;Ana Souza;Finalizado;29/01/2026 13:50:03;OLT-ZTE-10;Americana;Suporte Wi-Fi
Horizon Telecom;Reparo de Fibra;Valinhos;20265308865;09/02/2026 21:50:03;João Silva;Finalizado;10/02/2026 13:50:03;OLT-ZTE-8;Valinhos;Reparo de Fibra
Conecta+;Reparo de Fibra;Hortolândia;20261933226;31/01/2026 21:50:03;Carlos Santos;Finalizado;01/02/2026 20:50:03;OLT-NOKIA-8;Hortolândia;Reparo de Fibra
Horizon Telecom;Reparo de Fibra;Sumaré;20267682446;12/02/2026 21:50:03;João Silva;Finalizado;13/02/2026 12:50:03;OLT-HUAWEI-7;Sumaré;Reparo de Fibra
Conecta+;Troca de Tecnologia;Hortolândia;20262395358;13/01/2026 21:50:03;Maria Oliveira;Finalizado;14/01/2026 11:50:03;OLT-HUAWEI-9;Hortolândia;Troca de Tecnologia
FiberTech;Reparo de Fibra;Hortolândia;20268034722;28/01/2026 21:50:03;Kevyn Ferrezin;Finalizado;29/01/2026 20:50:03;OLT-ZTE-9;Hortolândia;Reparo de Fibra
Conecta+;Suporte Wi-Fi;Hortolândia;20262018063;28/01/2026 21:50:03;Carlos Santos;Finalizado;29/01/2026 12:50:03;OLT-ZTE-1;Hortolândia;Suporte Wi-Fi
Horizon Telecom;Suporte Wi-Fi;Campinas;20267354246;08/02/2026 21:50:03;Kevyn Ferrezin;Finalizado;09/02/2026 00:50:03;OLT-NOKIA-7;Campinas;Suporte Wi-Fi
Conecta+;Suporte Wi-Fi;Campinas;20264103464;04/02/2026 21:50:03;João Silva;Finalizado;05/02/2026 14:50:03;OLT-NOKIA-5;Campinas;Suporte Wi-Fi
Horizon Telecom;Troca de Tecnologia;Americana;20267221502;08/02/2026 21:50:03;Carlos Santos;Finalizado;09/02/2026 05:50:03;OLT-HUAWEI-6;Americana;Troca de Tecnologia
FiberTech;Suporte Wi-Fi;Valinhos;20269514555;12/02/2026 21:50:03;Ana Souza;Finalizado;13/02/2026 17:50:03;OLT-HUAWEI-6;Valinhos;Suporte Wi-Fi
Horizon Telecom;Suporte Wi-Fi;Campinas;20267272060;26/01/2026 21:50:03;Maria Oliveira;Finalizado;27/01/2026 14:50:03;OLT-ZTE-2;Campinas;Suporte Wi-Fi
Conecta+;Suporte Wi-Fi;Sumaré;20264022596;11/02/2026 21:50:03;Carlos Santos;Finalizado;12/02/2026 03:50:03;OLT-ZTE-8;Sumaré;Suporte Wi-Fi
Horizon Telecom;Instalação Nova;Sumaré;20266626865;30/01/2026 21:50:03;Kevyn Ferrezin;Finalizado;31/01/2026 17:50:03;OLT-HUAWEI-6;Sumaré;Instalação Nova
Horizon Telecom;Suporte Wi-Fi;Valinhos;20268705094;15/01/2026 21:50:03;Maria Oliveira;Finalizado;16/01/2026 19:50:03;OLT-HUAWEI-9;Valinhos;Suporte Wi-Fi
Horizon Telecom;Instalação Nova;Sumaré;20269853446;12/01/2026 21:50:03;João Silva;Finalizado;13/01/2026 04:50:03;OLT-NOKIA-5;Sumaré;Instalação Nova
FiberTech;Troca de Tecnologia;Campinas;20265602977;05/01/2026 21:50:03;João Silva;Finalizado;06/01/2026 21:50:03;OLT-ZTE-4;Campinas;Troca de Tecnologia
Conecta+;Reparo de Fibra;Campinas;20266082105;28/01/2026 21:50:03;Ana Souza;Finalizado;29/01/2026 05:50:03;OLT-ZTE-6;Campinas;Reparo de Fibra
Horizon Telecom;Instalação Nova;Sumaré;20266251167;01/02/2026 21:50:03;Carlos Santos;Finalizado;02/02/2026 10:50:03;OLT-NOKIA-9;Sumaré;Instalação Nova
Horizon Telecom;Troca de Tecnologia;Campinas;20261421271;10/01/2026 21:50:03;João Silva;Finalizado;11/01/2026 16:50:03;OLT-HUAWEI-6;Campinas;Troca de Tecnologia
FiberTech;Reparo de Fibra;Paulínia;20262619167;11/01/2026 21:50:03;Kevyn Ferrezin;Finalizado;12/01/2026 09:50:03;OLT-HUAWEI-6;Paulínia;Reparo de Fibra
Horizon Telecom;Instalação Nova;Campinas;20269270093;14/02/2026 21:50:03;Ana Souza;Finalizado;15/02/2026 05:50:03;OLT-HUAWEI-1;Campinas;Instalação Nova
Conecta+;Reparo de Fibra;Sumaré;20263880050;27/01/2026 21:50:03;Maria Oliveira;Finalizado;28/01/2026 05:50:03;OLT-NOKIA-2;Sumaré;Reparo de Fibra
FiberTech;Mudança de Endereço;Sumaré;20266652718;09/02/2026 21:50:03;Kevyn Ferrezin;Finalizado;10/02/2026 12:50:03;OLT-ZTE-3;Sumaré;Mudança de Endereço
FiberTech;Suporte Wi-Fi;Sumaré;20268706759;29/01/2026 21:50:03;João Silva;Finalizado;30/01/2026 03:50:03;OLT-HUAWEI-7;Sumaré;Suporte Wi-Fi
Horizon Telecom;Reparo de Fibra;Sumaré;20269841763;11/01/2026 21:50:03;Maria Oliveira;Finalizado;12/01/2026 19:50:03;OLT-ZTE-3;Sumaré;Reparo de Fibra
Horizon Telecom;Troca de Tecnologia;Paulínia;20266655816;26/01/2026 21:50:03;Maria Oliveira;Finalizado;27/01/2026 02:50:03;OLT-NOKIA-6;Paulínia;Troca de Tecnologia
Conecta+;Suporte Wi-Fi;Hortolândia;20267014821;05/02/2026 21:50:03;Ana Souza;Finalizado;05/02/2026 23:50:03;OLT-NOKIA-3;Hortolândia;Suporte Wi-Fi
Conecta+;Mudança de Endereço;Valinhos;20263372629;05/01/2026 21:50:03;João Silva;Finalizado;05/01/2026 23:50:03;OLT-NOKIA-8;Valinhos;Mudança de Endereço
Conecta+;Reparo de Fibra;Valinhos;20266387383;15/01/2026 21:50:03;João Silva;Finalizado;16/01/2026 14:50:03;OLT-HUAWEI-10;Valinhos;Reparo de Fibra
FiberTech;Instalação Nova;Americana;20262571871;29/01/2026 21:50:03;João Silva;Finalizado;30/01/2026 04:50:03;OLT-ZTE-9;Americana;Instalação Nova
FiberTech;Suporte Wi-Fi;Americana;20262525224;15/02/2026 21:50:03;Maria Oliveira;Finalizado;16/02/2026 07:50:03;OLT-NOKIA-2;Americana;Suporte Wi-Fi
Conecta+;Instalação Nova;Campinas;20264542264;15/02/2026 21:50:03;Kevyn Ferrezin;Finalizado;16/02/2026 19:50:03;OLT-HUAWEI-9;Campinas;Instalação Nova
FiberTech;Troca de Tecnologia;Campinas;20267409377;09/02/2026 21:50:03;Kevyn Ferrezin;Finalizado;10/02/2026 21:50:03;OLT-NOKIA-7;Campinas;Troca de Tecnologia
Conecta+;Instalação Nova;Hortolândia;20267432439;14/02/2026 21:50:03;João Silva;Finalizado;15/02/2026 19:50:03;OLT-NOKIA-1;Hortolândia;Instalação Nova
Horizon Telecom;Reparo de Fibra;Campinas;20268891020;07/02/2026 21:50:03;Kevyn Ferrezin;Finalizado;08/02/2026 05:50:03;OLT-HUAWEI-2;Campinas;Reparo de Fibra
FiberTech;Instalação Nova;Sumaré;20263713232;29/01/2026 21:50:03;João Silva;Finalizado;30/01/2026 11:50:03;OLT-ZTE-7;Sumaré;Instalação Nova
Conecta+;Troca de Tecnologia;Sumaré;20263725135;19/01/2026 21:50:03;Kevyn Ferrezin;Finalizado;20/01/2026 08:50:03;OLT-ZTE-8;Sumaré;Troca de Tecnologia
FiberTech;Mudança de Endereço;Valinhos;20268529066;11/01/2026 21:50:03;Ana Souza;Finalizado;12/01/2026 00:50:03;OLT-HUAWEI-3;Valinhos;Mudança de Endereço
Horizon Telecom;Instalação Nova;Campinas;20265405597;29/01/2026 21:50:03;Maria Oliveira;Finalizado;30/01/2026 06:50:03;OLT-NOKIA-2;Campinas;Instalação Nova
Horizon Telecom;Troca de Tecnologia;Hortolândia;20269078929;05/01/2026 21:50:03;Maria Oliveira;Finalizado;06/01/2026 04:50:03;OLT-NOKIA-5;Hortolândia;Troca de Tecnologia
Horizon Telecom;Troca de Tecnologia;Americana;20264470596;20/01/2026 21:50:03;Maria Oliveira;Finalizado;20/01/2026 23:50:03;OLT-HUAWEI-2;Americana;Troca de Tecnologia
Conecta+;Instalação Nova;Paulínia;20266252234;07/02/2026 21:50:03;Kevyn Ferrezin;Finalizado;08/02/2026 02:50:03;OLT-ZTE-9;Paulínia;Instalação Nova
Conecta+;Troca de Tecnologia;Paulínia;20261139894;07/01/2026 21:50:03;Ana Souza;Finalizado;08/01/2026 08:50:03;OLT-ZTE-4;Paulínia;Troca de Tecnologia
Conecta+;Instalação Nova;Americana;20262081367;28/01/2026 21:50:03;Maria Oliveira;Finalizado;29/01/2026 04:50:03;OLT-ZTE-9;Americana;Instalação Nova
Conecta+;Suporte Wi-Fi;Valinhos;20263119330;07/01/2026 21:50:03;Carlos Santos;Finalizado;08/01/2026 17:50:03;OLT-NOKIA-6;Valinhos;Suporte Wi-Fi
Horizon Telecom;Troca de Tecnologia;Sumaré;20261827162;17/02/2026 21:50:03;Ana Souza;Finalizado;18/02/2026 09:50:03;OLT-NOKIA-8;Sumaré;Troca de Tecnologia
FiberTech;Mudança de Endereço;Sumaré;20269792468;01/02/2026 21:50:03;João Silva;Finalizado;02/02/2026 20:50:03;OLT-HUAWEI-3;Sumaré;Mudança de Endereço
FiberTech;Troca de Tecnologia;Americana;20269651170;07/02/2026 21:50:03;Ana Souza;Finalizado;08/02/2026 14:50:03;OLT-ZTE-5;Americana;Troca de Tecnologia
FiberTech;Mudança de Endereço;Hortolândia;20266260713;11/01/2026 21:50:03;Ana Souza;Finalizado;12/01/2026 21:50:03;OLT-ZTE-4;Hortolândia;Mudança de Endereço
Horizon Telecom;Mudança de Endereço;Campinas;20265175530;02/02/2026 21:50:03;João Silva;Finalizado;03/02/2026 21:50:03;OLT-ZTE-3;Campinas;Mudança de Endereço
Conecta+;Mudança de Endereço;Campinas;20261030252;17/01/2026 21:50:03;Kevyn Ferrezin;Finalizado;18/01/2026 08:50:03;OLT-HUAWEI-9;Campinas;Mudança de Endereço
Conecta+;Instalação Nova;Valinhos;20262414220;22/01/2026 21:50:03;Ana Souza;Finalizado;23/01/2026 00:50:03;OLT-ZTE-9;Valinhos;Instalação Nova
Conecta+;Troca de Tecnologia;Campinas;20268219970;10/01/2026 21:50:03;Maria Oliveira;Finalizado;11/01/2026 09:50:03;OLT-ZTE-4;Campinas;Troca de Tecnologia
Horizon Telecom;Mudança de Endereço;Campinas;20266834660;08/02/2026 21:50:03;Carlos Santos;Finalizado;09/02/2026 00:50:03;OLT-HUAWEI-10;Campinas;Mudança de Endereço
Conecta+;Instalação Nova;Americana;20268011159;06/02/2026 21:50:03;João Silva;Finalizado;07/02/2026 17:50:03;OLT-HUAWEI-4;Americana;Instalação Nova
Horizon Telecom;Reparo de Fibra;Americana;20266662494;07/01/2026 21:50:03;Maria Oliveira;Finalizado;08/01/2026 13:50:03;OLT-NOKIA-4;Americana;Reparo de Fibra
Conecta+;Troca de Tecnologia;Americana;20263870975;16/01/2026 21:50:03;Carlos Santos;Finalizado;17/01/2026 01:50:03;OLT-HUAWEI-2;Americana;Troca de Tecnologia
FiberTech;Mudança de Endereço;Americana;20263408625;26/01/2026 21:50:03;Carlos Santos;Finalizado;27/01/2026 12:50:03;OLT-ZTE-9;Americana;Mudança de Endereço
Conecta+;Reparo de Fibra;Campinas;20268449252;23/01/2026 21:50:03;João Silva;Finalizado;24/01/2026 06:50:03;OLT-HUAWEI-8;Campinas;Reparo de Fibra
FiberTech;Mudança de Endereço;Americana;20265757770;09/02/2026 21:50:03;Kevyn Ferrezin;Finalizado;10/02/2026 03:50:03;OLT-NOKIA-5;Americana;Mudança de Endereço
Horizon Telecom;Troca de Tecnologia;Paulínia;20264285367;05/01/2026 21:50:03;Ana Souza;Finalizado;06/01/2026 20:50:03;OLT-ZTE-8;Paulínia;Troca de Tecnologia
FiberTech;Mudança de Endereço;Campinas;20269987075;21/01/2026 21:50:03;Ana Souza;Finalizado;22/01/2026 18:50:03;OLT-HUAWEI-10;Campinas;Mudança de Endereço
FiberTech;Instalação Nova;Americana;20263030337;05/01/2026 21:50:03;Ana Souza;Finalizado;06/01/2026 16:50:03;OLT-ZTE-8;Americana;Instalação Nova
FiberTech;Mudança de Endereço;Valinhos;20268186802;27/01/2026 21:50:03;Kevyn Ferrezin;Finalizado;28/01/2026 15:50:03;OLT-ZTE-6;Valinhos;Mudança de Endereço
Horizon Telecom;Mudança de Endereço;Sumaré;20268188271;06/02/2026 21:50:03;Maria Oliveira;Finalizado;06/02/2026 22:50:03;OLT-HUAWEI-5;Sumaré;Mudança de Endereço
Conecta+;Mudança de Endereço;Americana;20267453972;05/01/2026 21:50:03;Carlos Santos;Finalizado;06/01/2026 20:50:03;OLT-HUAWEI-6;Americana;Mudança de Endereço
Horizon Telecom;Mudança de Endereço;Hortolândia;20264327957;23/01/2026 21:50:03;Maria Oliveira;Finalizado;24/01/2026 16:50:03;OLT-NOKIA-5;Hortolândia;Mudança de Endereço
Conecta+;Instalação Nova;Valinhos;20266882309;07/02/2026 21:50:03;Carlos Santos;Finalizado;08/02/2026 16:50:03;OLT-HUAWEI-3;Valinhos;Instalação Nova
Horizon Telecom;Troca de Tecnologia;Sumaré;20265901976;20/01/2026 21:50:03;João Silva;Finalizado;21/01/2026 16:50:03;OLT-HUAWEI-6;Sumaré;Troca de Tecnologia
Conecta+;Reparo de Fibra;Valinhos;20266943609;12/02/2026 21:50:03;Maria Oliveira;Finalizado;13/02/2026 09:50:03;OLT-HUAWEI-10;Valinhos;Reparo de Fibra
Conecta+;Mudança de Endereço;Sumaré;20263833652;13/02/2026 21:50:03;Ana Souza;Finalizado;14/02/2026 01:50:03;OLT-NOKIA-7;Sumaré;Mudança de Endereço
Conecta+;Suporte Wi-Fi;Paulínia;20261977322;04/01/2026 21:50:03;Ana Souza;Finalizado;04/01/2026 22:50:03;OLT-NOKIA-5;Paulínia;Suporte Wi-Fi
FiberTech;Mudança de Endereço;Valinhos;20266586281;20/01/2026 21:50:03;Kevyn Ferrezin;Finalizado;20/01/2026 23:50:03;OLT-HUAWEI-5;Valinhos;Mudança de Endereço
Conecta+;Troca de Tecnologia;Sumaré;20264093961;24/01/2026 21:50:03;Carlos Santos;Finalizado;25/01/2026 12:50:03;OLT-ZTE-9;Sumaré;Troca de Tecnologia
Horizon Telecom;Troca de Tecnologia;Campinas;20264074531;13/01/2026 21:50:03;Carlos Santos;Finalizado;14/01/2026 18:50:03;OLT-NOKIA-4;Campinas;Troca de Tecnologia
FiberTech;Reparo de Fibra;Americana;20261344720;22/01/2026 21:50:03;Maria Oliveira;Finalizado;23/01/2026 13:50:03;OLT-ZTE-5;Americana;Reparo de Fibra
FiberTech;Troca de Tecnologia;Sumaré;20265104245;10/01/2026 21:50:03;João Silva;Finalizado;11/01/2026 03:50:03;OLT-ZTE-9;Sumaré;Troca de Tecnologia
Conecta+;Suporte Wi-Fi;Paulínia;20266802049;17/02/2026 21:50:03;João Silva;Finalizado;18/02/2026 16:50:03;OLT-NOKIA-3;Paulínia;Suporte Wi-Fi
FiberTech;Troca de Tecnologia;Campinas;20265318309;16/02/2026 21:50:03;Ana Souza;Finalizado;17/02/2026 13:50:03;OLT-NOKIA-7;Campinas;Troca de Tecnologia
Conecta+;Reparo de Fibra;Sumaré;20262103412;07/01/2026 21:50:03;Maria Oliveira;Finalizado;08/01/2026 19:50:03;OLT-ZTE-6;Sumaré;Reparo de Fibra
Horizon Telecom;Suporte Wi-Fi;Paulínia;20261772236;07/02/2026 21:50:03;Ana Souza;Finalizado;08/02/2026 01:50:03;OLT-HUAWEI-4;Paulínia;Suporte Wi-Fi
Conecta+;Instalação Nova;Campinas;20266499612;16/02/2026 21:50:03;João Silva;Finalizado;17/02/2026 03:50:03;OLT-ZTE-1;Campinas;Instalação Nova
FiberTech;Reparo de Fibra;Hortolândia;20265201825;30/01/2026 21:50:03;Maria Oliveira;Finalizado;31/01/2026 14:50:03;OLT-NOKIA-6;Hortolândia;Reparo de Fibra
Horizon Telecom;Suporte Wi-Fi;Hortolândia;20261751881;26/01/2026 21:50:03;João Silva;Finalizado;27/01/2026 02:50:03;OLT-HUAWEI-8;Hortolândia;Suporte Wi-Fi
FiberTech;Troca de Tecnologia;Paulínia;20264901189;25/01/2026 21:50:03;Kevyn Ferrezin;Finalizado;26/01/2026 07:50:03;OLT-HUAWEI-10;Paulínia;Troca de Tecnologia
Horizon Telecom;Troca de Tecnologia;Hortolândia;20264759466;09/01/2026 21:50:03;Carlos Santos;Finalizado;10/01/2026 07:50:03;OLT-ZTE-3;Hortolândia;Troca de Tecnologia
Conecta+;Troca de Tecnologia;Americana;20266519068;26/01/2026 21:50:03;Kevyn Ferrezin;Finalizado;27/01/2026 07:50:03;OLT-ZTE-3;Americana;Troca de Tecnologia
FiberTech;Mudança de Endereço;Valinhos;20263934782;12/01/2026 21:50:03;Kevyn Ferrezin;Finalizado;13/01/2026 14:50:03;OLT-ZTE-8;Valinhos;Mudança de Endereço
FiberTech;Instalação Nova;Campinas;20268048279;25/01/2026 21:50:03;João Silva;Finalizado;26/01/2026 13:50:03;OLT-ZTE-1;Campinas;Instalação Nova
Conecta+;Instalação Nova;Paulínia;20265638450;06/02/2026 21:50:03;Ana Souza;Finalizado;07/02/2026 14:50:03;OLT-NOKIA-8;Paulínia;Instalação Nova
Conecta+;Suporte Wi-Fi;Valinhos;20263136479;04/01/2026 21:50:03;Carlos Santos;Finalizado;05/01/2026 11:50:03;OLT-ZTE-9;Valinhos;Suporte Wi-Fi
Conecta+;Suporte Wi-Fi;Hortolândia;20264759810;04/02/2026 21:50:03;Maria Oliveira;Finalizado;05/02/2026 20:50:03;OLT-ZTE-10;Hortolândia;Suporte Wi-Fi
FiberTech;Instalação Nova;Hortolândia;20269784562;07/01/2026 21:50:03;João Silva;Finalizado;08/01/2026 14:50:03;OLT-NOKIA-4;Hortolândia;Instalação Nova
FiberTech;Suporte Wi-Fi;Hortolândia;20263500929;13/01/2026 21:50:03;João Silva;Finalizado;14/01/2026 21:50:03;OLT-HUAWEI-4;Hortolândia;Suporte Wi-Fi
Conecta+;Instalação Nova;Campinas;20269709538;26/01/2026 21:50:03;Carlos Santos;Finalizado;26/01/2026 22:50:03;OLT-HUAWEI-1;Campinas;Instalação Nova
Conecta+;Reparo de Fibra;Hortolândia;20265615354;19/01/2026 21:50:03;João Silva;Finalizado;20/01/2026 02:50:03;OLT-HUAWEI-10;Hortolândia;Reparo de Fibra
Conecta+;Instalação Nova;Paulínia;20261506315;09/01/2026 21:50:03;Maria Oliveira;Finalizado;10/01/2026 13:50:03;OLT-NOKIA-10;Paulínia;Instalação Nova
Conecta+;Instalação Nova;Americana;20264999582;07/02/2026 21:50:03;Carlos Santos;Finalizado;08/02/2026 07:50:03;OLT-ZTE-7;Americana;Instalação Nova
Conecta+;Mudança de Endereço;Hortolândia;20262230762;21/01/2026 21:50:03;Carlos Santos;Finalizado;22/01/2026 21:50:03;OLT-ZTE-5;Hortolândia;Mudança de Endereço
FiberTech;Instalação Nova;Campinas;20263678174;05/02/2026 21:50:03;Kevyn Ferrezin;Finalizado;06/02/2026 20:50:03;OLT-NOKIA-10;Campinas;Instalação Nova
